year,state,sector,gdp,gdp_capita
2015,Perlis,S6,94.412,377.3305302
2016,Perlis,S6,101.661,410.2760537
2017,Perlis,S6,112.216,460.5289468
2018,Perlis,S6,98.404,408.6984822
2019,Perlis,S6,72.118,300.8062767
2020,Perlis,S6,40.41,147.3829888
2021,Perlis,S6,76.371,279.9228814
2022,Perlis,S6,128.592,443.7872843
2023,Perlis,S6,114.338,390.630423
2015,Pulau Pinang,S6,712.27,408.762735
2016,Pulau Pinang,S6,808.102,463.5666401
2017,Pulau Pinang,S6,1017.204,584.6742473
2018,Pulau Pinang,S6,910.17,522.7237378
2019,Pulau Pinang,S6,606.177,353.8172752
2020,Pulau Pinang,S6,663.435,399.2019041
2021,Pulau Pinang,S6,624.743,376.2224774
2022,Pulau Pinang,S6,643.197,369.9468424
2023,Pulau Pinang,S6,658.123,411.9675059
2015,Sabah,S6,285.404,76.341392
2016,Sabah,S6,301.656,82.03527098
2017,Sabah,S6,351.717,100.6506742
2018,Sabah,S6,326.914,99.44858319
2019,Sabah,S6,187.213,55.36251416
2020,Sabah,S6,269.462,85.33886465
2021,Sabah,S6,239.556,90.85048874
2022,Sabah,S6,269.672,79.52959308
2023,Sabah,S6,262.788,73.14226079
2015,Sarawak,S6,404.294,146.3485424
2016,Sarawak,S6,446.268,158.8942459
2017,Sarawak,S6,520.213,197.1325481
2018,Sarawak,S6,474.869,186.7237318
2019,Sarawak,S6,318.269,124.1760857
2020,Sarawak,S6,387.676,169.9889175
2021,Sarawak,S6,355.297,178.148074
2022,Sarawak,S6,427.604,246.6790093
2023,Sarawak,S6,419.421,213.3492612
2015,Selangor,S6,8071.995,1279.478393
2016,Selangor,S6,8501.073,1345.746589
2017,Selangor,S6,8613.171,1370.731955
2018,Selangor,S6,7841.217,1250.072644
2019,Selangor,S6,8486.83,1352.818531
2020,Selangor,S6,7422.912,1104.039056
2021,Selangor,S6,8085.14,1220.587413
2022,Selangor,S6,10683.01,1517.873649
2023,Selangor,S6,13364.603,1854.840242
2015,Terengganu,S6,48.757,41.55874737
2016,Terengganu,S6,49.718,42.19059609
2017,Terengganu,S6,104.767,90.48521584
2018,Terengganu,S6,64.051,55.55327562
2019,Terengganu,S6,15.941,13.69692378
2020,Terengganu,S6,30.687,26.5633836
2021,Terengganu,S6,15.999,14.02988532
2022,Terengganu,S6,8.308,6.999013422
2023,Terengganu,S6,14.723,12.17401337
2015,W.P. Kuala Lumpur,S6,2437.469,1276.542939
2016,W.P. Kuala Lumpur,S6,2463.885,1303.934005
2017,W.P. Kuala Lumpur,S6,3555.524,1919.759461
2018,W.P. Kuala Lumpur,S6,3425.512,1885.516938
2019,W.P. Kuala Lumpur,S6,3719.753,2059.949616
2020,W.P. Kuala Lumpur,S6,3780.403,2105.371899
2021,W.P. Kuala Lumpur,S6,3825.288,1937.698343
2022,W.P. Kuala Lumpur,S6,2175.199,1053.108277
2023,W.P. Kuala Lumpur,S6,1221.887,576.9465467
2015,W.P. Labuan,S6,73.928,721.8670538
2016,W.P. Labuan,S6,76.813,740.7327244
2017,W.P. Labuan,S6,147.231,1430.005481
2018,W.P. Labuan,S6,117.831,1208.99973
2019,W.P. Labuan,S6,31.566,322.1529146
2020,W.P. Labuan,S6,57.841,584.2450043
2021,W.P. Labuan,S6,39.372,418.6556
2022,W.P. Labuan,S6,34.104,336.1086069
2023,W.P. Labuan,S6,39.252,394.6728641
2015,W.P. Putrajaya,S6,2437.469,1276.542939
2016,W.P. Putrajaya,S6,2463.885,1303.934005
2017,W.P. Putrajaya,S6,3555.524,1919.759461
2018,W.P. Putrajaya,S6,3425.512,1885.516938
2019,W.P. Putrajaya,S6,3719.753,2059.949616
2020,W.P. Putrajaya,S6,3780.403,2105.371899
2021,W.P. Putrajaya,S6,3825.288,1937.698343
2022,W.P. Putrajaya,S6,2175.199,1053.108277
2023,W.P. Putrajaya,S6,1221.887,576.9465467
2015,Supranational,S6,0,0
2016,Supranational,S6,0,0
2017,Supranational,S6,0,0
2018,Supranational,S6,0,0
2019,Supranational,S6,0,0
2020,Supranational,S6,0,0
2021,Supranational,S6,0,0
2022,Supranational,S6,0,0
2023,Supranational,S6,0,0
